,Line,Bag,Percent.Survival,Type,End_Size,Yield,Site
1,CL1,1,21.6216216,Commercial,38.323,828.6054046,Ninigret
2,CL1,2,30.952381,Commercial,61.68236364,1909.21602,Ninigret
3,CL1,3,31.5789474,Commercial,53.574,1691.810528,Ninigret
4,CL2,1,60.3878116,Commercial,45.9893,2777.193184,Ninigret
5,CL2,2,38.5737439,Commercial,40.83806667,1575.277125,Ninigret
6,CL2,3,68.8053097,Commercial,36.84005085,2534.791108,Ninigret
7,GH,1,87.2727273,Wild,47.7289,4165.431274,Ninigret
8,GH,2,77.2727273,Wild,52.72711667,4074.368107,Ninigret
9,GH,3,89.2473118,Wild,43.18738333,3854.357866,Ninigret
10,MV,1,24.7943596,Wild,26.74866667,663.2160602,Ninigret
11,MV,2,54.7461369,Wild,28.18316667,1542.919501,Ninigret
12,MV,3,26.3085399,Wild,27.96715,735.7748817,Ninigret
