,Line,Bag,Type,Percent.Survival,End_Size,Yield,Site
1,CL1,1,Commercial,60,78.6430303,4718.581818,RWU
2,CL1,2,Commercial,72.72727273,74.2445,5399.6,RWU
3,CL1,3,Commercial,72.72727273,77.75861111,5655.171717,RWU
4,CL2,1,Commercial,49.09090909,78.42962963,3850.181818,RWU
5,CL2,2,Commercial,87.27272727,80.024375,6983.945455,RWU
6,GH,3,Wild,72.72727273,64.926,4721.890909,RWU
7,MV,1,Wild,36.36363636,51.914,1887.781818,RWU
8,MV,2,Wild,49.09090909,59.53185185,2922.472727,RWU
9,MV,3,Wild,49.09090909,59.44518519,2918.218182,RWU
